label,youtube_id,time_start,time_end,split
sweeping floor,0EDL9pkmzow,7,17,train
washing dishes,0FiUehB2y90,1,11,train
baking cookies,0Gy_u05iEfQ,446,456,train
cooking chicken,0Hz2h1CLfj4,430,440,train
baking cookies,0IDsLy_Elno,54,64,train
cooking chicken,0IOzFP3W0VY,1,11,train
cleaning toilet,0IhQIv_ZCQE,13,23,train
folding clothes,0JkfkBxyv6A,49,59,train
washing hands,0Jmw3bhQ8Eg,21,31,train
making bed,0KQHXc4cBvQ,30,40,train
cooking chicken,0KUo8zx5wJo,73,83,train
sweeping floor,0KnnEb0aZFA,17,27,train
washing dishes,0LAkJPClJYM,44,54,train
cooking chicken,0LXCkmzhT_g,67,77,train
making bed,0LfESFkfBSw,79,89,train
washing dishes,0Lmm1GeaOoo,2,12,train
cooking chicken,0M8-82fq7oY,210,220,train
baking cookies,0MLnPaVTB0s,143,153,train
washing dishes,0MoR6Dy9kNE,15,25,train
washing hands,0Nf3Jw4EzJA,27,37,train
cooking chicken,0PmEiQ386CY,230,240,train
washing dishes,0QSA4Nma5Uc,18,28,train
cleaning toilet,0SEGaVuARFY,24,34,train
making bed,0SPL2iIawcw,144,154,train
washing dishes,0ToU7j3U0fo,48,58,train
washing hands,0XcnMt3TGP4,21,31,train
baking cookies,0Y4zTYoHg4Y,17,27,train
cooking chicken,0YXK1-khT3I,82,92,train
cooking chicken,0YZnqJIOCE0,55,65,train
washing dishes,0ZPxAE5EeTg,42,52,train
making bed,0_8Kjx1WpA8,47,57,train
baking cookies,0acHgv8A6U8,107,117,train
mopping floor,0b44AsqL7p0,0,10,train
cooking chicken,0cQ9qWe7YRA,912,922,train
making bed,0fYl4YHMrew,146,156,train
making bed,0gVV_oyUz9I,98,108,train
washing hands,0gZ_oo62OGk,70,80,train
making bed,0gp3biecmbU,433,443,train
making bed,0hh9uRYjj1k,198,208,train
washing hands,0iwUwp9kVHk,18,28,train
washing dishes,0jqAM2dkCWc,23,33,train
mopping floor,0jvgTtveKL0,57,67,train
cooking chicken,0l7sy0L7lBI,327,337,train
doing laundry,0mC_uFdzcIA,59,69,train
mopping floor,0mEpR8VbrNI,7,17,train
folding clothes,0mUIY4K-98c,25,35,train
cooking chicken,0oAJm3f37WU,409,419,train
sweeping floor,0p9B2ypFEas,4,14,train
folding clothes,0p_xMShcYuY,14,24,train
cooking chicken,0rJ0lbQDl3k,184,194,train
folding clothes,0rbogDaB-n0,252,262,train
washing hands,0ssfpmWPagk,5,15,train
cooking chicken,0szCTeTOWg0,239,249,train
cooking chicken,0u_8jOhJ-es,340,350,train
cleaning toilet,0v2gQ2tDF7k,6,16,train
washing hands,0vUi3QhaUHU,0,10,train
cooking chicken,0vl1EYfOJnI,25,35,train
sweeping floor,0vrWaF5YgW8,0,10,train
cooking chicken,0wVnhKjL1hk,57,67,train
baking cookies,0wphRCtKfMs,282,292,train
folding clothes,0xigrP4k5-c,756,766,train
cleaning toilet,10ELbhl1QOo,9,19,train
making bed,10WZv2RNCls,316,326,train
baking cookies,10YyfNp68iI,0,10,train
washing dishes,11SUK__7KHk,6,16,train
sweeping floor,12DoU8dxjdo,4,14,train
sweeping floor,12jh-e9zRjU,55,65,train
washing hands,12p5mQTw8pY,17,27,train
cooking chicken,13VwVNOqhMU,121,131,train
washing dishes,15Du8ATzjN8,1,11,train
baking cookies,15SzCQ6qCiE,65,75,train
mopping floor,15hBSYGNRjc,102,112,train
folding clothes,175eTQB7G_A,460,470,train
cooking chicken,17EDv57b5Vg,21,31,train
folding clothes,17KlsgcoHJM,6,16,train
folding clothes,17VmzhDfYTY,70,80,train
mopping floor,17fcpd4Bb-I,3,13,train
cleaning toilet,17vXT6tMNOU,8,18,train
folding clothes,19i7oyiKVG0,20,30,train
washing hands,1BSs2OPDPWo,90,100,train
cooking chicken,1CualKbBono,162,172,train
washing dishes,1DzWcOlSb4o,4,14,train
sweeping floor,1EmSLWm9s1U,124,134,train
washing dishes,1GPpc9HstLM,3,13,train
washing dishes,1Ge-a5rp_Ow,97,107,train
cooking chicken,1HFvq6KKj0g,335,345,train
cleaning toilet,1H_g0CDImDc,15,25,train
cooking chicken,1He-OPxa7I0,155,165,train
cooking chicken,1IGxOSLmnL8,311,321,train
washing dishes,1IOA3vBE8tc,4,14,train
making bed,1IrE--bjfAY,251,261,train
sweeping floor,1JDt5l6Xp1Y,20,30,train
making bed,1Jl-y7kfBXk,48,58,train
baking cookies,1Mjxn54pu64,282,292,train
washing hands,1MtPjU2QKIc,13,23,train
washing dishes,1OXzMMOmMu8,0,10,train
mopping floor,1OhPgU_WpyU,2,12,train
making bed,1R5C7tiI2ss,4,14,train
cooking chicken,1S-urS6-XAI,167,177,train
folding clothes,1TmE8hPBAZY,0,10,train
sweeping floor,1U4_Tv0crdM,76,86,train
folding clothes,1VlTKG9_h68,6,16,train
sweeping floor,1VoKELh2II0,16,26,train
sweeping floor,1X6Z_nVB7rU,0,10,train
baking cookies,1XtdtLcNCt8,180,190,train
cooking chicken,1Xw34aPweTY,310,320,train
cooking chicken,1Y3YsraqSUo,387,397,train
washing hands,1YPJT-P3Zo8,92,102,train
cooking chicken,1ZQC5wfUvgE,299,309,train
sweeping floor,1Zes5yiYK8s,23,33,train
cooking chicken,1agsA-13pZo,51,61,train
sweeping floor,1bGlDbT2hdc,3,13,train
baking cookies,1bgiMcUBDes,65,75,train
doing laundry,1bn4BAJa0ws,137,147,train
baking cookies,1btAwIjGwfs,270,280,train
washing dishes,1cTyuNi9Fhg,47,57,train
making bed,1ch0LQmruFc,20,30,train
sweeping floor,1dCIn-xGozU,1,11,train
sweeping floor,1emxjhtqF5I,0,10,train
washing dishes,1fcklKh5hSU,3,13,train
baking cookies,1h39wbBrWYY,259,269,train
doing laundry,1hlx6xGL0HA,15,25,train
washing dishes,1iBZ-8ExGJ4,0,10,train
washing dishes,1iIGGHOjD2Q,19,29,train
washing dishes,1ib_aUaP-xs,33,43,train
washing hands,1lAnbCyH4Bk,145,155,train
cooking chicken,1lXUxFQu01E,51,61,train
washing dishes,1liCx76KPdw,8,18,train
washing hands,1lxCJQ56yWA,0,10,train
washing hands,1mvG5NP1ZgI,4,14,train
baking cookies,1mxNs9n5C-o,76,86,train
washing dishes,1otiJk0hVis,2,12,train
washing hands,1p4KUYv3BT4,16,26,train
mopping floor,1pQpW89Fg00,0,10,train
baking cookies,1pcBJSifkco,6,16,train
washing hands,1qyATxKe5Og,37,47,train
cooking chicken,1sygFzI68rI,97,107,train
making bed,1v1GglsCAqg,290,300,train
mopping floor,1vt4Zh7doD4,5,15,train
folding clothes,1xzRU8OHyEo,15,25,train
sweeping floor,1zM8OLzMviI,14,24,train
folding clothes,21XG9zZZqDU,13,23,train
making bed,22P8LgrLz5Y,7,17,train
washing dishes,245LmLzGrhU,47,57,train
mopping floor,259K1wC2IMk,82,92,train
making bed,26yZMEG2nRw,228,238,train
making bed,28bhI6nRAr4,113,123,train
washing hands,29OVIYrRt3o,32,42,train
cooking chicken,29aDIi7qxXY,313,323,train
washing dishes,2AOymceSGEc,56,66,train
sweeping floor,2ASVThC5DSo,0,10,train
washing hands,2At4i9bTVvM,15,25,train
mopping floor,2BoMlmzRWOg,45,55,train
sweeping floor,2DpHwgJihOg,3,13,train
doing laundry,2EVwbnZT7OE,178,188,train
cleaning toilet,2EVyXK1b1Y4,13,23,train
mopping floor,2EnMdzmiKO8,5,15,train
folding clothes,2GviuVuJDiI,0,10,train
washing hands,2Gx5-vEKJ1Y,127,137,train
sweeping floor,2HMr7XOuoqQ,29,39,train
washing hands,2HN7t9STdv4,9,19,train
folding clothes,2Hjoma2FjtA,4,14,train
cooking chicken,2IoJcMxQA9w,338,348,train
cleaning toilet,2JGW7Bt7ITA,108,118,train
cooking chicken,2J_CJf4qN3g,91,101,train
mopping floor,2KqGN24Nqo4,9,19,train
washing dishes,2Ks9JP44pFw,7,17,train
washing hands,2L36UtJbtE4,42,52,train
mopping floor,2L92RVE_uLo,174,184,train
sweeping floor,2Mf_Svl0SpA,4,14,train
folding clothes,2Os27lAKwk4,0,10,train
cooking chicken,2P83FwmS0zc,480,490,train
doing laundry,2Pu2qAn_0_0,11,21,train
folding clothes,2QyYgZ6Lrqg,130,140,train
baking cookies,2R2Xfv0IuV4,912,922,train
cooking chicken,2RaiIeyWQNI,49,59,train
cooking chicken,2Sip1UgOh1Y,33,43,train
washing hands,2TBmaAcf8mM,57,67,train
washing hands,2VU_XoQLoSc,31,41,train
cooking chicken,2VfdCm8xoNg,861,871,train
making bed,2Vl8UVRl2Eo,154,164,train
mopping floor,2W072NG8-9Q,1,11,train
washing hands,2WPS4QEke2U,2,12,train
washing dishes,2WWuV7WOS0E,34,44,train
mopping floor,2XKwmjVl2_4,162,172,train
washing hands,2Y-qJqPd5CE,32,42,train
sweeping floor,2YXManUuTJA,6,16,train
cleaning toilet,2YXUSBvp2co,2,12,train
washing dishes,2Ys7uOuAkv4,360,370,train
mopping floor,2Z9akc40tbs,36,46,train
washing dishes,2ZGiaTpbDto,16,26,train
cooking chicken,2ZSRtGBXLys,70,80,train
folding clothes,2_6ijZd5fb0,1,11,train
baking cookies,2_H0WtLb-lw,3,13,train
folding clothes,2_sYNFESjxs,2,12,train
folding clothes,2a7QdRSjNKQ,101,111,train
folding clothes,2bXQamSxeiM,50,60,train
baking cookies,2djtbcbuhkI,22,32,train
cooking chicken,2dsrXHRkI6M,24,34,train
cooking chicken,2fF1osRrAO0,131,141,train
mopping floor,2fI3WUJimoE,1,11,train
folding clothes,2fRUyhKgx9k,29,39,train
making bed,2flj9ToJUiI,561,571,train
making bed,2fohmLB1xuU,115,125,train
baking cookies,2iFfYyS7IWc,215,225,train
washing dishes,2iK6D-I6g28,4,14,train
cooking chicken,2idwNvX6JxU,50,60,train
making bed,2kFw9DDQfiA,58,68,train
baking cookies,2kh-j9ma9LA,351,361,train
making bed,2kkv_AbvOoQ,6,16,train
mopping floor,2kn6dEsF_wI,2,12,train
cooking chicken,2kpRWbtcEhA,246,256,train
sweeping floor,2lCOMpltCKc,3,13,train
cleaning toilet,2lTp23XL-eA,62,72,train
doing laundry,2lW6skTENSw,1,11,train
cleaning toilet,2mipImUeqcY,54,64,train
sweeping floor,2ncXYetBjQc,33,43,train
baking cookies,2nebIx6-9xc,824,834,train
baking cookies,2nochCAHa3c,28,38,train
washing hands,2nsMkFhv4Lw,41,51,train
washing hands,2rrw8rcC164,22,32,train
making bed,2s1cG0rYjxg,54,64,train
folding clothes,2s4nLF_MQGY,152,162,train
baking cookies,2sR3HJFtafw,47,57,train
washing hands,2u1uPbGssME,242,252,train
washing hands,2u9feiUCbag,10,20,train
sweeping floor,2uEU-2LRmMk,16,26,train
baking cookies,2ubAyBu8goA,84,94,train
washing hands,2vOyBqbtDZ8,1,11,train
sweeping floor,2vz2sR_c5FY,37,47,train
baking cookies,2xzqtZJF344,20,30,train
washing dishes,2y9oaQQ4Td8,11,21,train
sweeping floor,3-DecVymBqI,23,33,train
making bed,30byJZ9NgK4,323,333,train
making bed,31M0nRhGrkc,364,374,train
making bed,333P7R6DzsI,64,74,train
sweeping floor,34H8A95YE3c,79,89,train
mopping floor,34nOR2BM2mk,12,22,train
washing hands,35HFCWhI-f8,10,20,train
sweeping floor,37501YlukFo,1,11,train
folding clothes,37gFk220gnk,18,28,train
cleaning toilet,3987PAd2JF8,17,27,train
washing dishes,3A6BhneVGF0,4,14,train
cooking chicken,3AZQBe0TmJQ,260,270,train
baking cookies,3Axl_Vi2adk,13,23,train
cleaning toilet,3BFhEOep1NQ,192,202,train
washing hands,3BpwUe_6AEQ,61,71,train
washing hands,3DL3mKvDBnE,107,117,train
washing dishes,3E3jzQDqyjY,23,33,train
folding clothes,3Ev9GHtE0sY,0,10,train
baking cookies,3GFgs0aIvTc,100,110,train
baking cookies,3GQRWuFZtRc,241,251,train
mopping floor,3GWBVFKKhpo,14,24,train
mopping floor,3HC-_srYPH0,90,100,train
washing dishes,3I5weCFVNj8,0,10,train
baking cookies,3JWWwiWaA40,1276,1286,train
folding clothes,3K1DwbisxS4,66,76,train
washing dishes,3M4BMNIfYIY,3,13,train
washing dishes,3MvZNrzT_yY,240,250,train
making bed,3N_Enu-0XYQ,159,169,train
doing laundry,3O0CDPBnLJ8,3,13,train
baking cookies,3OJfG_rogWM,435,445,train
folding clothes,3OPAd68cLgU,15,25,train
doing laundry,3Ov86yTJik4,1,11,train
cooking chicken,3OyURYYCfrc,86,96,train
washing hands,3QFYrQfRV2s,67,77,train
washing hands,3RJb6RD7xSc,2,12,train
washing hands,3RYJdtbvCOE,11,21,train
washing hands,3S-L8Utg5EY,2,12,train
baking cookies,3SJpuJctSCY,10,20,train
baking cookies,3T8T6MPxEvo,276,286,train
washing dishes,3UMijjT3ink,50,60,train
folding clothes,3Untr17W9pw,1,11,train
cooking chicken,3VJFOyytQrQ,42,52,train
washing dishes,3W8lGOpGiM4,23,33,train
washing dishes,3WCruFd16qc,100,110,train
washing hands,3XyCbRdML0Q,39,49,train
cooking chicken,3YVaYMRuorA,187,197,train
baking cookies,3YbiXw3U1EA,54,64,train
doing laundry,3YeFK_mBl48,2,12,train
baking cookies,3YrMhtEf03o,21,31,train
cleaning toilet,3_WpmabDgWA,58,68,train
baking cookies,3_jsQOtSYVo,63,73,train
cooking chicken,3aGsqe_onYo,385,395,train
cleaning toilet,3aUiWFQUjXw,89,99,train
mopping floor,3aVXMMgtFWs,0,10,train
folding clothes,3bN2sFeQF74,0,10,train
baking cookies,3d4zkDl3LyY,1,11,train
making bed,3dldtndFnRM,86,96,train
folding clothes,3fMKYdcRUz8,64,74,train
cooking chicken,3fqeRc5WmlI,135,145,train
making bed,3gYygHv3NP8,92,102,train
washing hands,3hNNgQTEZm4,214,224,train
baking cookies,3hsOTq0OYg8,71,81,train
cooking chicken,3imVUajXx1g,547,557,train
cooking chicken,3jMBfFOUtWE,52,62,train
baking cookies,3jNRydh9DT0,143,153,train
making bed,3jxJPkqEyr8,194,204,train
doing laundry,3n-ArpTnUzw,4,14,train
sweeping floor,3n1TJIT5QGo,124,134,train
sweeping floor,3oLHa5FCC-o,14,24,train
washing dishes,3oOXAmDk15s,56,66,train
baking cookies,3paZyFpoTh8,423,433,train
cooking chicken,3qBCUHHCU5o,734,744,train
sweeping floor,3qFUW8YwVe8,16,26,train
making bed,3qfriWaC5Wg,73,83,train
washing dishes,3rgIFFCjrJ4,4,14,train
sweeping floor,3tWwQ1_6fRE,2,12,train
washing dishes,3tu3KStFEgQ,1266,1276,train
folding clothes,3w6DahGVwn4,5,15,train
sweeping floor,3wDOTexEJJI,6,16,train
making bed,3wHaxp4tAvE,28,38,train
sweeping floor,3wmLDXSTew8,13,23,train
cooking chicken,4196A2ZUA8s,565,575,train
baking cookies,43PLgt0ZZq8,94,104,train
washing hands,442ahO-RMjQ,14,24,train
making bed,44SKidNaidQ,3,13,train
washing dishes,44d-l3sZLRI,81,91,train
cleaning toilet,45ZffbW9oR0,26,36,train
cooking chicken,462UM0Tf75s,127,137,train
making bed,4685GDBFIXc,385,395,train
washing hands,46IPC_Q1TzU,14,24,train
cooking chicken,46RSDS5tqnQ,121,131,train
mopping floor,47B-OAyhPjo,163,173,train
folding clothes,49AidoCnuRg,149,159,train
washing dishes,49_POrbRU_o,36,46,train
washing hands,49kP1fYr9z8,52,62,train
making bed,4A3lg2hj8-E,101,111,train
cooking chicken,4BcE3sXjjzM,173,183,train
mopping floor,4CRacVTadPQ,81,91,train
folding clothes,4Ci6ToQuACU,14,24,train
washing dishes,4CzXhG6tkdY,104,114,train
mopping floor,4Ee62FQQ07Y,10,20,train
washing hands,4EnrQxswWDs,69,79,train
mopping floor,4FII-DhhI4g,2,12,train
washing hands,4FuP03hsGzQ,126,136,train
cooking chicken,4GXgXcY8v9w,179,189,train
washing dishes,4G_b7m33lic,111,121,train
mopping floor,4GyIZZvdRu4,62,72,train
doing laundry,4HWg_GDHDME,44,54,train
folding clothes,4HiGA5p2M4I,171,181,train
cooking chicken,4IJorho8zGc,16,26,train
baking cookies,4IubMAyyKG4,68,78,train
cooking chicken,4JOtr2ba7iA,534,544,train
washing hands,4JeAj6gftvM,32,42,train
folding clothes,4K55eb2UUeA,12,22,train
washing dishes,4LF0hL-mgks,208,218,train
mopping floor,4Mo-IYfNKBo,6,16,train
cleaning toilet,4QRdRcSgekU,392,402,train
cleaning toilet,4QrBsB7FC6I,56,66,train
making bed,4R3ErGt6O0Q,169,179,train
baking cookies,4TiMmhpCTWo,4,14,train
baking cookies,4VoU71Fo8xE,51,61,train
baking cookies,4WwzlnssXRY,757,767,train
washing dishes,4X14kis6Dk0,1,11,train
folding clothes,4XBlHZPceO8,198,208,train
mopping floor,4XQ748lpkR8,77,87,train
washing dishes,4XsXP89oRRY,3,13,train
mopping floor,4Y7vXO5f_aI,0,10,train
sweeping floor,4YYYVTK8VmM,29,39,train
cooking chicken,4Z-P8GQ4i9o,63,73,train
baking cookies,4Z6inEyZqBQ,241,251,train
washing dishes,4ZvFUgT4270,8,18,train
baking cookies,4aH2hFZnSD8,286,296,train
doing laundry,4axkMZP-hYI,255,265,train
making bed,4bl8pHHizyU,10,20,train
washing hands,4bnk1eyVJ4o,12,22,train
sweeping floor,4c_oN8vFXgQ,24,34,train
washing hands,4d1K4B9qn4A,51,61,train
baking cookies,4dyDAcWt5vo,260,270,train
folding clothes,4eeNvKKAY-c,101,111,train
doing laundry,4esUZKQooEM,2,12,train
baking cookies,4fOqzW7l9IQ,17,27,train
mopping floor,4gJRVUQ65M4,75,85,train
making bed,4iZvoZc0V1Q,445,455,train
cleaning toilet,4jhOI7T9FJU,0,10,train
washing hands,4k6uLW_faNo,37,47,train
washing hands,4mskdgbW-mA,3,13,train
mopping floor,4myV0UXALTE,29,39,train
washing hands,4nILpBpGDPI,11,21,train
washing dishes,4oDF9MO2mGM,22,32,train
cooking chicken,4pO_6u9VSa8,46,56,train
folding clothes,4rIwnX15l_w,36,46,train
mopping floor,4rZOjVH_vRg,9,19,train
washing hands,4snjXM10i3s,39,49,train
cleaning toilet,4st5YsnDm5c,180,190,train
folding clothes,4tkgVd4sc6o,80,90,train
baking cookies,4ufeLtVi-_Q,217,227,train
mopping floor,4vq6CvX0QUw,13,23,train
baking cookies,4wLwBzMZ0lM,393,403,train
baking cookies,4wpKE8NtPCs,163,173,train
doing laundry,4y6NZrH8leI,35,45,train
doing laundry,4zEkAv6Xfgw,118,128,train
washing dishes,4zz_Rerj2Ws,5,15,train
baking cookies,5-Kah6fnauE,7,17,train
mopping floor,5-Qr8Mczr70,102,112,train
sweeping floor,50yzq7uDnM8,0,10,train
cooking chicken,5175RvrKaOk,178,188,train
cleaning toilet,51ZX9ao_-Bo,50,60,train
folding clothes,53FvqTeDfgo,0,10,train
cleaning toilet,53mNzUlhh5c,65,75,train
cleaning toilet,53qJZ1c5UuM,20,30,train
washing hands,5448XQQ3cFw,77,87,train
mopping floor,54Ad5cd5evk,29,39,train
sweeping floor,54lHP-bTDqw,58,68,train
washing hands,55asLD18g2Q,112,122,train
washing dishes,55h5kVozCu4,15,25,train
making bed,56yF48AvBDE,45,55,train
washing hands,58sPeLU4AIw,40,50,train
washing hands,591l15iaX-E,0,10,train
sweeping floor,5AKyTuE7Vug,1,11,train
washing hands,5BZ2J3z41EI,0,10,train
baking cookies,5CLmy0mnknU,36,46,train
washing hands,5CzQYoiDIsQ,41,51,train
sweeping floor,5EQ_ISuJf8o,92,102,train
washing hands,5FPcj16kVQs,13,23,train
washing dishes,5FTslNAnVVs,10,20,train
baking cookies,5G7OeGA72L0,4,14,train
mopping floor,5Gt0DrmUrnk,0,10,train
cooking chicken,5I7ZBj_UMew,261,271,train
cooking chicken,5ILxY4k7_ww,205,215,train
cooking chicken,5K0l2Uv8ZH0,174,184,train
cooking chicken,5LABFsXbiUE,72,82,train
washing hands,5LyqV0HFj8c,0,10,train
making bed,5N5fZIY5IV0,25,35,train
washing dishes,5NmM_UtM18I,23,33,train
mopping floor,5Okmg2aEwxI,249,259,train
cooking chicken,5OtE4Jix4j4,91,101,train
washing dishes,5Oun_O94Nss,10,20,train
washing dishes,5OyrZYAEk5U,8,18,train
washing hands,5P1uXPkes_8,4,14,train
mopping floor,5P9df53iMxQ,5,15,train
washing hands,5PGip-s42Sk,98,108,train
mopping floor,5Qrn3k6EkNo,16,26,train
cooking chicken,5Rg1PGRV5fM,117,127,train
making bed,5SSW0o2IP_g,28,38,train
baking cookies,5WMewyIvfrE,19,29,train
baking cookies,5Wv56QCoKyU,195,205,train
washing dishes,5YBEGsAYhP0,211,221,train
washing dishes,5YV-4hqujUY,21,31,train
folding clothes,5ZJ0T-E-cN8,112,122,train
washing dishes,5_P8bYvyuY0,3,13,train
cooking chicken,5_ijQnTQH2c,93,103,train
mopping floor,5a6hT3qlP6A,10,20,train
washing dishes,5axAdpluhvw,50,60,train
cleaning toilet,5cTIQmDxzIQ,294,304,train
washing dishes,5e8Y6ol-8p8,2,12,train
folding clothes,5ecxTlOwtEc,87,97,train
sweeping floor,5f_CxV4eIrU,15,25,train
doing laundry,5fdjeWMVscM,33,43,train
cooking chicken,5gGBrHk1qQA,52,62,train
sweeping floor,5h3dzg5NEFg,3,13,train
folding clothes,5hD03KB2H6w,31,41,train
cooking chicken,5hVE8UYSdw0,151,161,train
washing hands,5iJOt5svhxk,15,25,train
cooking chicken,5jhyNchGmRc,189,199,train
washing dishes,5kX0B3AYe84,18,28,train
making bed,5kfkeAoWihc,13,23,train
making bed,5kxLAVyHSA8,138,148,train
cleaning toilet,5la7cmE3hJ8,4,14,train
baking cookies,5mCQCWdDQao,3,13,train
washing hands,5n6t85pQRs8,26,36,train
washing hands,5nAuKJ241Sc,12,22,train
baking cookies,5oNizDQBsU8,325,335,train
doing laundry,5osvBYChUg8,3,13,train
doing laundry,5r6rxFx8ofs,75,85,train
washing dishes,5rkkyBNqPrc,105,115,train
making bed,5tujNM78BOU,3,13,train
washing hands,5u2oLFFI070,32,42,train
washing hands,5v0GOf3Af3s,25,35,train
folding clothes,5wDARWk98nM,14,24,train
washing dishes,5wOmHw6Boj8,16,26,train
folding clothes,5wlLrPP9Ca0,1,11,train
doing laundry,5y6QPtJaKoM,40,50,train
baking cookies,5zrytE7_LkU,353,363,train
doing laundry,6-UBRxJv6QM,37,47,train
washing hands,61DhaE9kdOc,0,10,train
washing hands,63rUZEOrHSQ,11,21,train
washing hands,63s6EkOcLvo,178,188,train
baking cookies,64Of5N2ySJM,635,645,train
washing dishes,64UBH371Jj8,4,14,train
washing hands,65O2GrpJ7oE,0,10,train
making bed,65ci19SpSe0,33,43,train
baking cookies,65urvinTmEQ,145,155,train
cooking chicken,66QXkqal1fo,132,142,train
cooking chicken,66axeDiTveY,157,167,train
folding clothes,673_zZfIRJs,67,77,train
mopping floor,68SZHmnp4fI,59,69,train
sweeping floor,69XCCb6Cvhs,108,118,train
washing dishes,69oB6QLShW4,237,247,train
cooking chicken,6AsmFje9dGk,123,133,train
cooking chicken,6AyyQrxQNWs,64,74,train
baking cookies,6BOMNZWWUZc,20,30,train
baking cookies,6C21Ss3K_iE,61,71,train
mopping floor,6CPoIWmD19M,4,14,train
washing hands,6D0bRCQr_4Y,24,34,train
cleaning toilet,6DjDLCzQtk0,28,38,train
washing dishes,6EkBez2J74c,68,78,train
cooking chicken,6EpcxnLttDI,11,21,train
cooking chicken,6F5C1YOj33Y,84,94,train
washing hands,6FabYox-WRY,131,141,train
washing hands,6G5RK7SA4n8,21,31,train
cooking chicken,6GmfMTashYE,252,262,train
making bed,6H-x7z8o6tk,197,207,train
mopping floor,6HMRf2HIWw0,68,78,train
folding clothes,6HjmIE2yo8g,18,28,train
cooking chicken,6HwnAdo_IlQ,271,281,train
making bed,6ISP-Z1wNl4,95,105,train
folding clothes,6LVrbTVtzJc,71,81,train
sweeping floor,6LmZQP_7jqA,41,51,train
washing hands,6MdJA8iOk5Q,85,95,train
washing hands,6OoOIlxG2Mg,38,48,train
sweeping floor,6PVOuYOB_As,23,33,train
washing hands,6QYLUzI49u8,83,93,train
sweeping floor,6QkEqU-izlc,30,40,train
making bed,6StDf8Re9M0,106,116,train
mopping floor,6Sx4TAEHeqE,21,31,train
baking cookies,6TK8J8gJ738,308,318,train
washing dishes,6TrBEueAqu4,70,80,train
cleaning toilet,6TxI8cRwXFA,83,93,train
baking cookies,6UL2F71ud_k,28,38,train
baking cookies,6Ua9ZMpEnz4,304,314,train
mopping floor,6VAWUUQ6dj8,0,10,train
doing laundry,6VNgBc9fnKg,76,86,train
washing dishes,6VQz2ogCp2Q,34,44,train
